;No_disposition;Date_mutation;Nature_mutation;Valeur_fonciere;No_voie;Type_de_voie;Voie;Code_postal;Commune;Code_departement;Surface_reelle_bati;Nombre_pieces_principales
2482714;1;2019-08-01;Vente;300000.0;31.0;AV;DE LA MOTTE PICQUET;75007.0;PARIS 07;75;28.0;2.0
2482715;1;2019-08-01;Vente;382000.0;14.0;RUE;DE MONTTESSUY;75007.0;PARIS 07;75;32.0;2.0
2482716;1;2019-01-16;Vente;2968750.0;6.0;RUE;DE L ABBAYE;75006.0;PARIS 06;75;136.0;5.0
2482718;1;2019-08-01;Vente;1000.0;111.0;RUE;NOTRE DAME DES CHAMPS;75006.0;PARIS 06;75;72.0;3.0
2482719;1;2019-10-01;Vente;650000.0;27.0;RUE;DE FLEURUS;75006.0;PARIS 06;75;37.0;2.0
2482721;1;2019-01-15;Vente;1605000.0;50.0;RUE;DE L UNIVERSITE;75007.0;PARIS 07;75;76.0;3.0
2482723;1;2019-09-01;Vente;760000.0;6.0;RUE;DE SEINE;75006.0;PARIS 06;75;9.0;2.0
2482724;1;2019-09-01;Vente;760000.0;6.0;RUE;DE SEINE;75006.0;PARIS 06;75;23.0;3.0
2482729;1;2019-09-01;Vente;480000.0;1.0;RUE;MONSIEUR LE PRINCE;75006.0;PARIS 06;75;40.0;1.0
2482730;1;2019-01-22;Vente;500000.0;2.0;RUE;DE MIRBEL;75005.0;PARIS 05;75;32.0;2.0
2482731;1;2019-07-01;Vente;291500.0;16.0;RUE;PIERRE LEROUX;75007.0;PARIS 07;75;22.0;1.0
2482735;1;2019-01-14;Vente;1264771.0;3.0;RUE;DE L ESSAI;75005.0;PARIS 05;75;92.0;4.0
2482737;1;2019-01-15;Vente;1050000.0;59.0;RUE;DE BOURGOGNE;75007.0;PARIS 07;75;28.0;2.0
2482738;1;2019-01-15;Vente;1050000.0;59.0;RUE;DE BOURGOGNE;75007.0;PARIS 07;75;65.0;3.0
2482739;1;2019-01-23;Vente;820000.0;223.0;RUE;DE L UNIVERSITE;75007.0;PARIS 07;75;51.0;3.0
2482741;1;2019-01-16;Vente;1260000.0;10.0;BD;DE LA TOUR MAUBOURG;75007.0;PARIS 07;75;117.0;3.0
2482742;1;2019-01-18;Vente;475000.0;7.0;RUE;DE FURSTEMBERG;75006.0;PARIS 06;75;26.0;1.0
2482743;1;2019-01-15;Vente;1150000.0;19.0;RUE;BREA;75006.0;PARIS 06;75;95.0;4.0
2482746;1;2019-10-01;Vente;380000.0;7.0;RUE;OUDINOT;75007.0;PARIS 07;75;30.0;2.0
2482748;1;2019-01-23;Vente;950000.0;97.0;RUE;DE VAUGIRARD;75006.0;PARIS 06;75;84.0;3.0
2482749;1;2019-01-18;Vente;610000.0;20.0;RUE;LACEPEDE;75005.0;PARIS 05;75;60.0;3.0
2482750;1;2019-10-01;Vente;143000.0;10.0;RUE;DUVIVIER;75007.0;PARIS 07;75;12.0;1.0
2482751;1;2019-01-18;Vente;1123310.0;10.0;RUE;DE L ANCIENNE COMEDIE;75006.0;PARIS 06;75;63.0;2.0
2482757;1;2019-01-22;Vente;1060000.0;16.0;RUE;MONSIEUR LE PRINCE;75006.0;PARIS 06;75;77.0;2.0
2482758;1;2019-11-01;Vente;1710000.0;47.0;RUE;SAINT PLACIDE;75006.0;PARIS 06;75;88.0;4.0
2482759;1;2019-01-16;Vente;1030000.0;14.0;RUE;DE LANNEAU;75005.0;PARIS 05;75;63.0;3.0
2482762;1;2019-08-01;Vente;1200000.0;54.0;AV;DE BRETEUIL;75007.0;PARIS 07;75;96.0;4.0
2482763;1;2019-01-25;Vente;1373800.0;2.0;RUE;GUISARDE;75006.0;PARIS 06;75;90.0;4.0
2482764;1;2019-01-23;Vente;270000.0;196.0;RUE;DE GRENELLE;75007.0;PARIS 07;75;17.0;1.0
2482765;1;2019-01-15;Vente;177000.0;8.0;AV;DES GOBELINS;75005.0;PARIS 05;75;12.0;1.0
2482766;1;2019-08-01;Vente;1760000.0;51.0;AV;BOSQUET;75007.0;PARIS 07;75;125.0;5.0
2482767;1;2019-01-18;Vente;1652000.0;2.0;SQ;DE ROBIAC;75007.0;PARIS 07;75;121.0;6.0
2482768;1;2019-01-24;Vente;1285525.0;12.0;RUE;DES SAINTS PERES;75007.0;PARIS 07;75;81.0;3.0
2482769;1;2019-01-24;Vente;570000.0;14.0;RUE;CASSETTE;75006.0;PARIS 06;75;34.0;1.0
2482771;1;2019-01-24;Vente;695000.0;24.0;RUE;MONGE;75005.0;PARIS 05;75;50.0;3.0
2482772;1;2019-08-01;Vente;2160000.0;1.0;RUE;DE LA BUCHERIE;75005.0;PARIS 05;75;146.0;4.0
2482773;1;2019-01-18;Vente;346000.0;50.0;RUE;BROCA;75005.0;PARIS 05;75;34.0;2.0
2482774;1;2019-01-17;Vente;2120000.0;25.0;RUE;DU MONTPARNASSE;75006.0;PARIS 06;75;130.0;6.0
2482776;1;2019-01-24;Vente;1810000.0;12.0;RUE;DE L ABBAYE;75006.0;PARIS 06;75;92.0;3.0
2482777;1;2019-01-24;Vente;420000.0;20.0;RUE;DAUPHINE;75006.0;PARIS 06;75;32.0;2.0
2482778;1;2019-01-29;Vente;844000.0;44.0;RUE;DU BAC;75007.0;PARIS 07;75;50.0;1.0
